epoch level train.loss train.accuracy val.loss val.accuracy
0 0 0.0 99.77176966292134 NA NA
0 1 6.250349998474121 40.19487359550562 NA NA
0 2 2.767666971310973 8.01439606741573 NA NA
0 3 2.209157560020685 4.389044943820225 NA NA
0 0 NA NA 0.0 100.0
0 1 NA NA 0.6103586703538895 51.743264659271
0 2 NA NA 0.3028334900736809 14.263074484944532
0 3 NA NA 0.24735454469919205 10.142630744849445
1 0 0.0 99.77176966292134 NA NA
1 1 4.906291749328375 55.94276685393258 NA NA
1 2 2.6845339480787516 19.8999297752809 NA NA
1 3 2.1644753105938435 14.001053370786517 NA NA
1 0 NA NA 0.0 100.0
1 1 NA NA 0.4910697788000107 61.25198098256735
1 2 NA NA 0.2848967406898737 26.307448494453247
1 3 NA NA 0.2380771804600954 20.839936608557846
2 0 0.0 99.77176966292134 NA NA
2 1 4.091689337044954 64.50140449438203 NA NA
2 2 2.4410099629312754 33.40063202247191 NA NA
2 3 2.0008419658988714 24.9561095505618 NA NA
2 0 NA NA 0.0 100.0
2 1 NA NA 0.408670824021101 66.24405705229793
2 2 NA NA 0.2365325652062893 41.60063391442155
2 3 NA NA 0.20281868614256382 30.82408874801902
3 0 0.0 99.77176966292134 NA NA
3 1 3.455128487199545 70.50561797752809 NA NA
3 2 2.0127631686627865 46.734550561797754 NA NA
3 3 1.6711492305621505 33.77808988764045 NA NA
3 0 NA NA 0.0 100.0
3 1 NA NA 0.34621682204306126 73.05863708399366
3 2 NA NA 0.1871266197413206 50.31695721077654
3 3 NA NA 0.1655787220224738 37.16323296354992
4 0 0.0 99.77176966292134 NA NA
4 1 2.9493204951286316 75.28967696629213 NA NA
4 2 1.677499309182167 53.44101123595506 NA NA
4 3 1.3977452870458364 39.09761235955056 NA NA
4 0 NA NA 0.0 100.0
4 1 NA NA 0.2986508123576641 76.54516640253566
4 2 NA NA 0.16476238891482353 55.86370839936608
4 3 NA NA 0.1468258537352085 40.491283676703645
5 0 0.0 99.77176966292134 NA NA
5 1 2.538140309974551 79.13448033707866 NA NA
5 2 1.4569530682638288 58.339185393258425 NA NA
5 3 1.2438565883785486 42.34550561797753 NA NA
5 0 NA NA 0.0 100.0
5 1 NA NA 0.258267879486084 80.5863708399366
5 2 NA NA 0.14377967547625303 59.66719492868463
5 3 NA NA 0.1337645659223199 43.10618066561014
6 0 0.0 99.77176966292134 NA NA
6 1 2.222372204065323 81.17977528089888 NA NA
6 2 1.2872416423633695 61.14817415730337 NA NA
6 3 1.1468969397246838 44.162570224719104 NA NA
6 0 NA NA 0.0 100.0
6 1 NA NA 0.23170467652380466 82.0919175911252
6 2 NA NA 0.13406463619321585 60.85578446909667
6 3 NA NA 0.12549024540930986 44.92868462757528
7 0 0.0 99.77176966292134 NA NA
7 1 2.0239917542785406 82.41748595505618 NA NA
7 2 1.1995609728619456 62.96523876404494 NA NA
7 3 1.0838724225759506 46.12886235955056 NA NA
7 0 NA NA 0.0 100.0
7 1 NA NA 0.21237155981361866 83.43898573692552
7 2 NA NA 0.12792950496077538 62.282091917591124
7 3 NA NA 0.12010237574577332 46.43423137876387
8 0 0.0 99.77176966292134 NA NA
8 1 1.8493080856278539 83.62886235955057 NA NA
8 2 1.1418411610648036 64.50140449438203 NA NA
